"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength"
"T33moSoloMid",2.74,5.10,4.70,7.80,1,9,0,0,0,60,3, 11, 56, 12, 4, 15,2,5,44, 160708, 290498, 129471, 186.38, 120961,1884.4
"ShangFenXinTai",1.97,6.60,6.40,6.00,0,3,7,0,0,40,25, 40, 124, 8, 2, 13,3,5,53, 184278, 225845, 41377, 29.27, 116252,1887.7
"NinjaTonyz",2.94,2.80,5.40,13.10,0,1,0,0,9,30,32, 74, 233, 4, 1, 17,0,3,64, 122226, 197682, 46992, 33.87, 102594,1922.3
"Avis Brown Champ",3.15,7.30,4.00,5.30,0,0,3,7,0,40,2, 35, 55, 12, 4, 12,6,0,54, 210171, 168317, 37468, 43.15, 117035,1712.9
"Jay to the Izzo",3.00,5.70,5.10,9.60,0,5,0,4,1,60,10, 52, 73, 7, 0, 22,3,3,51, 177943, 242929, 60269, 75.20, 125121,1912.6
"awful",3.32,8.10,6.60,13.80,0,2,1,4,3,60,5, 61, 133, 6, 3, 22,4,5,67, 250120, 318018, 66120, 87.05, 140561,2174
"TFTH",2.14,2.50,6.60,11.60,4,0,1,0,5,50,18, 46, 124, 6, 2, 20,4,4,55, 136773, 268430, 35867, 78.10, 99936,1949.9
"Kamikaze Pilot",3.41,6.10,4.40,8.90,0,5,2,2,1,50,15, 34, 132, 16, 2, 12,4,3,52, 185613, 202257, 38447, 147.93, 135395,1977.3
"Fczw",2.16,8.30,6.10,4.90,3,0,0,7,0,30,7, 34, 120, 17, 4, 13,3,2,60, 267726, 175306, 25924, 80.22, 118011,1843.6
"Wulise Jungle",1.81,6.70,6.30,4.70,0,9,1,0,0,40,2, 14, 71, 7, 1, 12,0,1,54, 145019, 203094, 49885, 89.40, 97536,1702.2
"Immense X",2.81,2.40,4.80,11.10,6,0,0,0,4,50,0, 19, 101, 8, 1, 9,3,4,55, 109916, 176645, 19437, 62.00, 96798,1857.1
"OId Bay",2.33,6.80,5.50,6.00,1,0,9,0,0,60,1, 21, 119, 7, 7, 16,3,3,54, 208943, 184024, 26259, 70.00, 109933,1718.6
"eunseogguh",1.93,5.50,6.70,7.40,4,0,3,1,2,60,14, 21, 106, 15, 3, 17,6,6,46, 174154, 223386, 23096, 102.07, 119903,1817.1
"Sanger00",3.48,8.40,4.00,5.50,10,0,0,0,0,30,0, 14, 101, 8, 0, 18,5,5,52, 229677, 351751, 67978, 277.63, 141746,2232.7
"Devil kurten",2.77,3.70,4.80,9.60,4,6,0,0,0,30,15, 47, 153, 8, 0, 14,1,2,59, 132145, 304771, 50955, 84.35, 109840,2097.5
"IG CoachMelvin",1.69,2.70,5.40,6.40,0,5,1,0,4,20,23, 37, 112, 3, 0, 9,3,1,48, 103013, 242265, 83937, 70.40, 98423,1913.4
"DimpIe",4.41,1.80,3.70,14.50,0,0,0,0,10,60,23, 76, 224, 3, 0, 15,4,5,62, 86348, 142271, 52351, 53.73, 90806,1841.6
"AsianNinjaBoy",4.00,2.00,3.20,10.80,0,1,0,2,7,50,13, 32, 161, 5, 1, 13,3,2,53, 76602, 199573, 56892, 18.82, 84481,1637.7
"Furry Pride Wolf",1.66,4.30,6.10,5.80,8,0,2,0,0,50,15, 12, 127, 6, 2, 16,4,5,42, 168470, 303224, 73467, 131.50, 107763,1745
"CashOnDelivery",4.36,8.50,4.20,9.80,2,0,6,2,0,50,16, 72, 122, 21, 4, 18,2,5,63, 318106, 238355, 59314, 132.08, 150422,2250.1
"Utmosteffort",2.40,5.90,5.70,7.80,9,0,1,0,0,80,18, 39, 104, 8, 1, 16,4,5,47, 236614, 229003, 16672, 32.33, 124292,1935.1
"thusness",3.36,5.00,4.20,9.10,0,0,3,7,0,60,8, 18, 87, 15, 5, 15,2,4,50, 195171, 176920, 35850, 57.98, 119341,1849.9
"Septimeaus",1.57,4.20,6.80,6.50,6,0,4,0,0,50,1, 13, 107, 6, 1, 9,0,2,50, 170766, 194293, 28421, 52.88, 103383,1732.6
"Nightmaroon",2.12,4.00,5.20,7.00,1,7,1,1,0,50,12, 18, 110, 5, 2, 11,5,2,45, 126745, 228071, 85447, 72.17, 103183,1677.6
