"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","topPlayedLength","midPlayedLength","junglePlayedLength","adcPlayedLength","supportPlayedLength","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP"
"WcwCxArmy",1.67,4.80,6.90,6.70,0,1,2,1,6,60,0, 47, 155, 1, 4, 21,1,3,38, 162870, 262224, 49811, 107.80, 122114,2333.7,0,6325,1897,2104,13011,19883,20778,35.00,107,3803,82505,72385,43.00,559,6523,0,0,0,0,0,8645,27683,1.00,73,12914,51837,141378,11.00,362,26571
"Spawn of Geese",3.96,2.10,2.70,8.60,0,4,0,0,6,60,17, 12, 172, 5, 0, 11,3,2,40, 77546, 210758, 61061, 82.57, 85250,1727.4,0,0,6854,0,10420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39591,101708,0.25,202,27823,37955,109050,7.33,154,33238
"demonshamrock",3.38,5.80,4.50,9.40,0,0,6,2,2,60,2, 21, 94, 5, 0, 18,5,3,52, 178250, 159478, 15680, 37.55, 107498,1916.9,0,10937,0,3940,4292,33934,31068,54.50,262,6036,117627,77441,46.00,774,6408,0,0,0,0,0,0,0,0,0,0,26689,50969,7.00,60,3236
"JustQ33",3.00,2.80,3.90,8.90,6,1,0,2,1,50,9, 18, 128, 9, 2, 13,1,4,40, 162260, 235568, 29105, 90.17, 114068,2030.4,11433,0,2301,5058,1512,35998,48596,67.00,650,11482,0,0,0,0,0,92859,119659,44.17,978,10720,26965,48138,31.00,1,6005,6438,19175,8.00,16,898
"Tubs XII",2.80,6.00,6.40,11.90,0,2,1,7,0,80,16, 30, 130, 8, 2, 20,3,4,49, 206216, 233359, 57558, 62.97, 129402,2125.3,0,1760,4507,14986,0,154566,143822,49.57,1082,21795,21526,13238,51.00,136,2422,0,0,0,0,0,30124,76299,0.50,113,33341,0,0,0,0,0
"StealthySquid",2.71,5.40,6.80,13.00,3,0,2,1,4,60,16, 41, 174, 13, 3, 21,4,3,50, 227380, 230362, 35905, 113.37, 112948,1908.8,6106,3530,0,1733,7719,26342,17737,46.00,101,3377,62029,32187,56.00,246,2362,82781,99540,40.33,409,16541,0,0,0,0,0,56228,80898,4.25,125,13625
"KoadRill",3.24,2.40,5.90,16.70,0,0,0,1,9,40,16, 61, 238, 6, 0, 21,1,5,49, 118130, 286300, 58340, 126.28, 116308,2241.2,0,0,0,3081,19331,20893,50972,12.00,83,5922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97237,235328,4.78,437,52418
"SoundOfViolence",1.94,7.70,8.20,8.20,2,0,2,6,0,30,1, 9, 42, 7, 2, 15,2,2,48, 267185, 218632, 28695, 83.28, 128476,2172.5,4081,4480,0,13164,0,167521,128405,41.33,981,18404,55367,39809,42.50,313,6541,44297,50418,45.50,255,3750,0,0,0,0,0,0,0,0,0,0
"Treints",3.71,6.50,3.50,6.50,3,7,0,0,0,50,0, 18, 40, 12, 0, 16,0,2,50, 141074, 303239, 49080, 166.58, 118751,2014.7,6035,0,14112,0,0,0,0,0,0,0,0,0,0,0,0,25956,75685,40.67,580,6332,115118,227554,1.14,395,42748,0,0,0,0,0
"jdmsqueek",2.98,4.10,5.10,11.10,2,6,0,2,0,40,9, 36, 70, 3, 0, 15,2,6,50, 120383, 277795, 71967, 102.38, 113991,1996.6,2929,0,13258,3779,0,31367,26718,56.00,357,3494,0,0,0,0,0,19301,28009,33.00,175,943,69715,223068,1.67,318,67530,0,0,0,0,0
"chucho421",1.86,2.30,7.20,11.10,2,2,1,2,3,50,5, 17, 142, 3, 1, 17,1,3,51, 115709, 304155, 79809, 224.58, 106172,2009.4,3719,1598,4777,3543,6457,12945,50084,17.00,95,7664,8417,13358,45.00,99,790,23696,64562,39.50,281,12779,39317,96532,2.50,149,36448,31334,79619,7.33,64,22128
"leekOfLagend",3.72,3.70,3.60,9.70,0,0,1,5,4,60,0, 6, 126, 3, 2, 12,1,1,54, 130050, 118958, 12587, 72.30, 95633,1817.9,0,1447,0,8561,8171,66280,59665,20.80,475,6572,4248,2071,34.00,66,324,0,0,0,0,0,0,0,0,0,0,59522,57222,6.00,234,5691
"xx251000",3.00,6.90,5.20,8.70,1,0,7,2,0,80,0, 4, 70, 11, 2, 16,3,6,47, 181532, 180731, 25504, 26.05, 118075,1947,1619,13537,0,4314,0,43971,39831,55.50,383,6013,122430,117321,52.14,893,15143,15131,23579,48.00,72,4348,0,0,0,0,0,0,0,0,0,0
"crustation112",3.86,1.80,4.40,15.20,0,1,0,0,9,60,12, 16, 129, 3, 2, 16,6,3,58, 73817, 240638, 80047, 35.55, 93547,1836.6,0,0,2246,0,16120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14458,51623,0.00,67,10582,59359,189015,9.44,330,69465
"bloodred king",2.53,4.90,5.90,10.00,5,2,1,2,0,60,0, 13, 79, 9, 7, 14,3,2,44, 152393, 214282, 29248, 64.87, 102991,1793.4,8779,1189,3528,4438,0,30274,42923,20.50,160,6388,10944,7625,40.00,74,1384,83618,118791,43.40,546,11408,27557,44943,0.50,117,10068,0,0,0,0,0
"dodgertown2015",4.57,6.30,3.50,9.70,2,6,0,0,2,40,7, 13, 118, 5, 2, 15,1,4,51, 163462, 356057, 88805, 181.38, 119760,2054.3,4094,0,12219,0,4230,0,0,0,0,0,0,0,0,0,0,25978,54684,41.00,297,13421,126551,271872,4.17,412,59871,10933,29501,1.00,62,15513
"Mikeandnike1",1.89,5.50,6.60,7.00,3,2,3,2,0,30,5, 8, 45, 4, 1, 18,1,1,40, 204999, 310584, 74096, 60.98, 123085,2183.1,5340,6018,5967,4506,0,38851,51051,50.50,465,7514,60767,58648,52.33,494,6513,28848,71041,45.00,443,17184,76533,129844,0.50,177,42885,0,0,0,0,0
