"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","topPlayedLength","midPlayedLength","junglePlayedLength","adcPlayedLength","supportPlayedLength","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP"
"UrinatingTurtle",2.82,4.30,3.40,5.30,0,0,0,10,0,50,6, 22, 106, 12, 0, 12,4,4,46, 172736, 146747, 28729, 55.97, 113112,1841,0,0,0,18410,0,172736,146747,58.80,1891,28729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Skankiasaurus",2.42,1.70,5.00,10.40,1,0,0,0,9,40,13, 38, 171, 4, 1, 13,4,0,47, 85823, 197185, 69976, 53.93, 94460,1860.4,1420,0,0,0,17184,0,0,0,0,0,0,0,0,0,0,15200,19444,66.00,176,391,0,0,0,0,0,70623,177741,9.00,391,69585
"DeathByNinjas",1.43,5.20,8.30,6.70,1,5,0,2,2,20,1, 15, 109, 2, 1, 15,1,3,50, 142864, 200547, 26440, 81.13, 99436,1755.2,1734,0,9207,3669,2942,26317,38374,57.00,314,4186,0,0,0,0,0,14950,19031,55.00,107,859,82623,117598,5.40,270,20719,18974,25544,7.00,35,676
"Rauh W Begriff",2.48,7.60,6.00,7.30,8,2,0,0,0,80,1, 24, 108, 7, 1, 15,2,4,52, 229576, 319142, 44252, 98.55, 126206,1903.2,15478,0,3554,0,0,0,0,0,0,0,0,0,0,0,0,190470,269699,48.50,1398,29200,39106,49443,4.50,134,15052,0,0,0,0,0
"H8ED Ace",2.81,6.60,6.20,10.80,3,3,1,0,3,70,9, 32, 144, 8, 6, 17,5,8,58, 162177, 323238, 84941, 79.72, 121873,2095.4,6112,2697,6331,0,5814,0,0,0,0,0,31453,39915,40.00,174,6983,61009,109459,55.33,479,19881,42486,92001,3.33,242,34412,27229,81863,5.33,85,23665
"SexyDonnie",1.82,5.90,6.50,5.90,4,0,5,1,0,60,4, 13, 68, 14, 2, 15,2,4,43, 234492, 226018, 13420, 85.25, 128883,1926.3,7952,9316,0,1995,0,20941,17171,58.00,217,2633,108314,108845,62.40,1020,6431,105237,100002,67.25,885,4356,0,0,0,0,0,0,0,0,0,0
"PharmerT",2.08,5.50,5.00,4.90,5,0,2,3,0,40,8, 22, 92, 14, 2, 11,2,4,41, 211265, 233568, 30330, 79.35, 119394,1872.7,8960,4170,0,5597,0,56265,51102,63.67,634,6576,48496,37964,55.00,363,4808,106504,144502,59.20,960,18946,0,0,0,0,0,0,0,0,0,0
"DedChixCantSayNo",1.93,7.00,7.20,6.90,2,5,3,0,0,30,0, 35, 127, 3, 1, 8,1,4,53, 197916, 281635, 85436, 115.27, 120050,2021.8,4045,6238,9935,0,0,0,0,0,0,0,48490,57587,45.67,452,3204,56716,71533,51.50,305,24254,92710,152515,2.80,397,57978,0,0,0,0,0
"Greeener",3.82,2.50,3.80,12.00,1,1,1,0,7,60,16, 36, 177, 7, 1, 10,3,3,52, 88243, 166438, 44490, 103.38, 94613,1714.7,2519,1619,1486,0,11523,0,0,0,0,0,13244,12169,86.00,183,1054,33873,41541,55.00,281,8776,7352,21317,0.00,62,3072,33774,91411,3.43,95,31588
"TheB1ackninja",2.47,3.10,3.40,5.30,1,2,3,4,0,40,10, 11, 127, 7, 0, 16,4,4,42, 168924, 153258, 40099, 68.15, 108215,1828.4,1247,5784,4590,6663,0,56597,41781,59.75,707,8508,51312,58941,43.00,398,9681,5669,10520,58.00,135,115,55346,42016,28.50,136,21795,0,0,0,0,0
