"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","topPlayedLength","midPlayedLength","junglePlayedLength","adcPlayedLength","supportPlayedLength","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP"
"Riven Jenner",2.84,7.30,5.10,7.20,2,0,2,6,0,60,12, 10, 110, 17, 5, 16,5,6,58, 221327, 200901, 23810, 55.98, 122657,1763.9,3465,3576,0,10598,0,153386,113753,55.50,1018,18712,41368,43213,58.00,303,2336,26573,43935,56.50,433,2762,0,0,0,0,0,0,0,0,0,0
"Vyvy",2.44,9.10,7.70,9.70,4,1,0,5,0,70,8, 20, 117, 29, 5, 23,1,4,52, 308717, 280650, 78237, 109.25, 160348,2080.1,8386,0,1927,10488,0,169541,146924,66.60,1108,39131,0,0,0,0,0,101648,101565,72.00,1003,25426,37528,32161,8.00,98,13680,0,0,0,0,0
"Big Champs",1.94,1.50,6.80,11.70,0,0,0,2,8,50,1, 54, 212, 5, 0, 22,1,6,50, 103862, 262711, 37425, 18.20, 111437,2217.1,0,0,0,5375,16796,36524,42291,62.00,581,8542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67338,220420,11.50,367,28883
"EDG AIpaca",2.73,5.30,5.10,8.60,0,3,0,7,0,50,0, 21, 54, 6, 2, 15,2,2,55, 184299, 194356, 41385, 60.63, 107910,1718.3,0,0,4420,12763,0,155808,129336,65.71,1323,21682,0,0,0,0,0,0,0,0,0,0,28491,65020,0.67,181,19703,0,0,0,0,0
"Sergioislord",4.38,5.90,2.90,6.80,1,8,0,1,0,80,4, 14, 87, 17, 2, 18,2,5,48, 167565, 163004, 34775, 77.22, 114119,1681.3,1671,0,13569,1573,0,18070,12774,73.00,161,2243,0,0,0,0,0,13313,20923,68.00,165,6850,136182,129307,9.25,620,25682,0,0,0,0,0
"I Started That",2.52,7.70,6.70,9.20,0,10,0,0,0,50,33, 27, 157, 13, 2, 23,3,3,57, 178010, 251913, 83207, 72.58, 119842,1842.8,0,0,18428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178010,251913,2.80,608,83207,0,0,0,0,0
"OrangeChickenss",1.95,2.90,5.90,8.60,1,0,5,0,4,40,23, 19, 167, 7, 0, 9,2,3,45, 106861, 195315, 20497, 23.05, 102943,1870.5,1909,9295,0,0,7501,0,0,0,0,0,65248,94210,59.00,879,5309,15484,28155,60.00,183,2840,0,0,0,0,0,26129,72950,3.50,106,12348
"BeastoftheYear",1.65,5.20,6.50,5.50,5,1,4,0,0,50,8, 11, 99, 4, 5, 16,7,3,44, 178782, 235210, 17665, 94.83, 107059,1727.2,9297,6184,1791,0,0,0,0,0,0,0,69488,67862,56.25,483,3438,93953,137067,62.40,922,13305,15341,30281,42.00,4,922,0,0,0,0,0
"Splure",2.40,8.90,6.70,7.20,0,1,9,0,0,50,2, 25, 78, 12, 0, 15,2,5,56, 209944, 218666, 20833, 39.22, 138681,1966.7,0,17992,1675,0,0,0,0,0,0,0,184866,200549,64.22,1785,18547,0,0,0,0,0,25078,18117,63.00,24,2286,0,0,0,0,0
"LeviathanDuo",3.71,4.40,3.50,8.60,0,5,0,5,0,40,4, 26, 121, 10, 1, 17,1,3,49, 159510, 241895, 68739, 82.13, 126071,2010.6,0,0,9923,10183,0,82630,82417,64.60,1177,14754,0,0,0,0,0,0,0,0,0,0,76880,159478,5.40,372,53985,0,0,0,0,0
"Azianboi Mark",2.32,8.70,6.90,7.30,0,4,3,3,0,40,9, 39, 85, 15, 3, 15,2,2,54, 263463, 268586, 58135, 74.72, 137962,2078.3,0,6375,7925,6483,0,97402,66344,62.33,690,12435,96001,87801,66.00,627,9717,0,0,0,0,0,70060,114441,2.00,295,35983,0,0,0,0,0
"Mind Maze",1.75,4.10,6.10,6.60,0,6,3,1,0,30,5, 31, 68, 5, 0, 6,1,2,48, 155625, 256810, 68126, 45.07, 103541,1833.6,0,4920,11147,2269,0,27004,23208,53.00,201,3433,45472,60318,52.67,338,3719,0,0,0,0,0,83149,173284,2.67,485,60974,0,0,0,0,0
"Xiaobaichai",2.13,6.90,8.30,10.80,0,1,2,3,4,40,16, 41, 206, 11, 1, 11,3,2,52, 199782, 291842, 55738, 72.90, 130729,2110.7,0,4142,2002,6214,8749,92237,88529,57.33,616,12398,40976,69491,48.50,345,13324,0,0,0,0,0,19774,28758,10.00,106,16522,46795,105064,4.25,145,13494
"KpuC",2.48,5.90,6.20,9.50,1,7,0,0,2,50,10, 52, 177, 12, 2, 22,1,9,52, 135803, 329859, 70203, 116.93, 126054,2091,2158,0,14371,0,4381,0,0,0,0,0,0,0,0,0,0,19737,37045,61.00,139,928,97182,209304,7.86,469,53240,18884,83510,12.50,101,16035
"DuckDuckis",1.81,6.00,8.00,8.50,2,2,5,0,1,60,30, 18, 151, 7, 0, 19,1,1,46, 206925, 241233, 56458, 88.63, 122476,1916.9,3403,8763,4509,0,2494,0,0,0,0,0,98565,88380,60.00,708,2343,51244,35958,52.00,369,4136,35080,77257,6.00,181,47096,22036,39638,12.00,67,2883
"Shadrolics",1.56,1.00,7.50,10.70,0,2,0,0,8,30,22, 64, 243, 3, 0, 16,2,7,52, 70181, 269074, 50662, 84.38, 94156,2029.6,0,0,3521,0,16775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19882,55905,5.00,129,11912,50299,213169,6.75,251,38750
"Tristarn",3.28,6.70,4.30,7.40,4,0,4,1,1,40,4, 9, 138, 9, 3, 15,2,6,52, 193367, 282916, 37893, 125.13, 124211,1941.1,9738,6508,0,1238,1927,4698,12675,43.00,84,1272,61794,56258,60.00,588,5377,116730,191413,67.00,985,28827,0,0,0,0,0,10145,22570,8.00,35,2417
