"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength"
"KakaotaIk",2.00,6.10,5.30,4.50,4,6,0,0,0,60,9, 34, 81, 11, 1, 18,4,4,43, 149893, 284969, 61459, 98.08, 115507,1686.9
"iCantGankNoobs",2.16,4.60,5.00,6.20,2,0,3,5,0,40,1, 30, 47, 12, 1, 12,1,4,48, 180361, 182082, 26056, 71.95, 111651,1845.2
"qq8368094",2.20,5.00,4.90,5.80,0,0,10,0,0,50,12, 25, 109, 10, 1, 12,5,5,46, 170698, 174374, 17598, 39.05, 114027,1726.7
"Kitzuo",2.44,5.60,5.70,8.30,3,7,0,0,0,60,14, 51, 104, 10, 0, 7,6,3,58, 153558, 268280, 48033, 94.80, 112398,1750.8
"KoBoK",2.56,6.30,4.30,4.70,0,7,3,0,0,50,17, 41, 127, 21, 2, 19,9,7,50, 155028, 219897, 68364, 87.47, 126564,1683.5
"Mateusz",3.50,4.20,4.00,9.80,8,1,0,1,0,50,19, 18, 144, 3, 1, 16,4,4,58, 153490, 223047, 37386, 61.53, 109851,1840.6
"ChumpJohn",2.70,4.90,4.00,5.90,7,3,0,0,0,50,10, 26, 121, 10, 0, 14,3,3,42, 161782, 268988, 70633, 89.85, 121345,1763.6
"ArmoredBearsRULE",2.67,4.20,3.90,6.20,6,0,3,1,0,60,18, 25, 157, 12, 0, 10,3,4,45, 151252, 243180, 34751, 84.65, 109860,1736.3
"Specialty",2.50,4.70,5.40,8.80,0,8,2,0,0,50,18, 40, 121, 6, 2, 11,3,5,56, 177506, 331585, 89501, 136.85, 124864,1939.4
"caIigueva",3.08,4.80,3.60,6.30,3,4,1,2,0,40,7, 43, 108, 9, 2, 12,5,4,54, 190842, 219067, 47645, 114.78, 113631,1736.8
"HIKASHIKUN",3.85,5.60,2.60,4.40,1,4,5,0,0,70,28, 70, 165, 17, 5, 14,4,5,51, 203229, 131016, 19199, 106.58, 117485,1693.5
"Calphen",1.98,2.70,5.70,8.60,8,0,1,1,0,20,13, 15, 98, 5, 0, 8,2,3,49, 182565, 375683, 152365, 188.72, 110330,1898
"CaristinnQT",2.27,5.70,5.50,6.80,3,1,6,0,0,40,17, 18, 134, 9, 1, 11,6,6,51, 202464, 210253, 67383, 67.10, 115004,1769.7
"feed l0rd",1.86,5.10,7.20,8.30,0,1,3,4,2,40,6, 52, 173, 9, 1, 7,5,5,53, 182195, 236929, 34896, 40.52, 126151,2043.3
"Cygnus Rosonski",5.86,1.80,2.20,11.10,0,0,0,3,7,40,40, 55, 236, 3, 0, 13,1,2,66, 93125, 129519, 27791, 46.22, 83936,1655.3
"Grifal",3.20,7.30,4.50,7.10,0,2,0,8,0,50,17, 23, 83, 21, 3, 9,2,3,59, 223852, 199757, 54596, 42.07, 131099,1742.4
"ZizonSwagger",1.72,2.70,4.30,4.70,2,1,0,4,3,40,11, 21, 107, 2, 2, 8,2,5,41, 103281, 145743, 45729, 57.47, 87337,1623.2
"GG Yoona lm",2.13,4.70,5.40,6.80,0,0,5,5,0,40,1, 19, 74, 8, 2, 11,3,4,50, 171223, 163022, 24341, 23.48, 102310,1626.9
"Zyrnic",2.02,5.50,6.00,6.60,0,0,3,7,0,30,1, 32, 118, 4, 0, 5,3,1,61, 220047, 183489, 26740, 118.45, 114147,1804.9
"Acondeux",3.56,7.80,4.80,9.30,0,1,0,9,0,80,24, 73, 132, 22, 2, 20,3,9,62, 261945, 196485, 43806, 83.12, 143023,1938.1
