"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration","AvgGameLength"
"Bie Gao Wo A",2.53,5.20,5.30,8.20,0,0,5,5,0,60,16,10,19,3,5,47,66.47,1919.9
"RougeDraven",3.34,5.10,4.40,9.60,1,7,0,1,1,80,16,9,17,8,8,50,84.60,1841
"MooseHater",2.37,7.70,5.40,5.10,9,0,1,0,0,80,16,23,19,6,6,43,12.30,1889.7
"fLcQuix",2.07,3.40,4.30,5.50,0,0,3,7,0,30,18,12,9,3,2,47,42.95,1741.1
"Edxecutus",2.52,4.70,5.80,9.90,0,4,0,3,3,40,4,9,14,2,4,61,51.38,1843.3
"PANDApika233",3.82,1.20,4.50,16.00,0,0,0,0,10,70,18,6,14,1,7,59,45.12,1741.2
"Weeknd",2.79,5.00,4.30,7.00,5,0,4,1,0,40,16,8,14,2,2,58,86.88,1652.3
"OfficerHunnybuns",2.54,5.40,4.80,6.80,2,4,0,2,2,60,25,12,10,3,1,53,59.28,1629.2
"Atik B",2.16,5.10,4.90,5.50,0,7,3,0,0,60,16,25,12,3,4,44,96.17,1815.1
"Znipe",2.63,6.60,4.60,5.50,0,2,0,8,0,40,5,7,14,2,2,58,33.27,1557.1
"Hey Its Yasuo",2.46,3.80,4.60,7.50,0,0,3,6,1,50,5,9,11,3,4,52,25.03,1589.1
"HeartbreakeroO",2.09,5.60,7.50,10.10,0,3,2,3,2,40,10,7,15,1,5,59,175.22,2014.9
"Zhico",2.57,4.10,4.70,8.00,3,1,0,4,2,20,22,7,12,2,2,51,73.97,1815.8
"spurm",4.33,2.90,3.00,10.10,0,0,0,3,7,40,0,8,15,4,3,63,34.60,1723.4
"HweSang",2.02,4.90,4.80,4.80,0,4,0,6,0,10,12,4,7,0,0,57,41.43,1545.3
"Bes",2.03,7.20,6.50,6.00,3,0,0,7,0,20,0,6,5,1,0,57,72.42,1744.8
"Certified Noob",4.09,2.50,4.40,15.50,0,0,0,1,9,60,45,3,13,3,1,64,18.45,1706.5
"Freakenpope",3.56,6.80,3.90,7.10,3,7,0,0,0,70,20,5,17,2,3,52,108.27,1704.8
"GATO DarkLicking",1.92,1.80,6.30,10.30,1,1,0,2,6,30,22,3,14,6,5,51,142.02,1930
"Valkroth",2.64,3.30,4.70,9.10,5,1,0,0,4,50,17,6,15,5,4,54,116.03,1889.7
"Etheopia",1.98,6.30,6.20,6.00,0,1,0,9,0,30,4,14,14,3,5,54,96.63,1977.8
"Teburu X",1.79,4.80,6.10,6.10,10,0,0,0,0,40,12,24,16,2,2,45,58.53,1952
"Pablohoney",2.55,7.20,5.50,6.80,2,7,1,0,0,10,20,2,14,1,3,56,89.25,1973.4
"Get the D",2.11,1.30,4.60,8.40,0,0,0,0,10,20,28,1,9,1,3,51,32.93,1729.1
"Kawaii Crab",2.33,3.40,3.00,3.60,0,5,0,5,0,30,9,5,9,0,1,45,59.28,1520.2
"Roleiz",2.16,5.40,4.40,4.10,1,7,0,2,0,40,11,6,10,4,4,52,66.07,1623.2
"Serky",1.25,5.10,7.70,4.50,5,5,0,0,0,20,2,9,17,3,1,48,110.68,1848.3
"Japcho",2.50,4.60,4.20,5.90,7,1,2,0,0,70,19,22,9,7,4,45,38.12,1658.1
"blobs",2.11,5.10,5.50,6.50,2,0,4,4,0,50,25,14,15,1,4,48,137.80,1791.8
"Big Otis",2.48,4.00,4.00,5.90,0,0,8,2,0,30,29,6,11,9,2,59,42.72,1810.7
"InPeace",2.16,9.00,6.90,5.90,0,5,5,0,0,60,1,9,15,5,7,54,103.40,1824.4
"SouIero",2.35,5.90,4.80,5.40,3,0,6,1,0,30,14,7,13,3,4,53,76.37,1879.9
