"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","topPlayedLength","midPlayedLength","junglePlayedLength","adcPlayedLength","supportPlayedLength","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP"
"dino suar",2.74,9.20,6.60,8.90,0,6,2,2,0,30,7, 29, 100, 5, 1, 9,1,2,62, 220919, 252581, 52984, 139.90, 133699,2135.1,0,2696,12809,5846,0,90956,67998,53.00,507,11186,7840,17908,0.00,30,4100,0,0,0,0,0,122123,166675,2.67,495,37698,0,0,0,0,0
"New Day New Ayyy",2.68,5.40,4.40,6.40,1,8,0,1,0,60,15, 31, 105, 10, 3, 18,3,3,51, 140820, 196882, 66529, 75.65, 110338,1681.5,2471,0,12764,1580,0,25939,18430,77.00,196,2572,0,0,0,0,0,21029,32586,59.00,233,707,93852,145866,4.00,544,63250,0,0,0,0,0
"bk kids club",3.80,1.20,1.50,4.50,1,0,1,0,2,50,6, 16, 86, 0, 1, 6,0,1,53, 43818, 91924, 38635, 4.75, 45179,2087,2026,1879,0,0,4443,0,0,0,0,0,6598,19157,66.00,206,10433,20815,28918,43.00,163,18581,0,0,0,0,0,16405,43849,11.50,144,9621
"KillerXrelliK",2.23,3.60,6.00,9.80,4,0,3,1,2,60,19, 25, 185, 5, 0, 17,3,6,45, 170240, 216572, 36914, 64.07, 115302,2002.1,7957,6519,0,2279,3266,14577,30121,13.00,58,1913,62150,57199,58.67,483,4359,82756,96341,56.75,720,21251,0,0,0,0,0,10757,32911,7.50,42,9391
"Post MaIone",3.38,4.90,3.70,7.60,1,4,0,5,0,40,6, 7, 64, 3, 0, 10,3,4,54, 142705, 213748, 87706, 88.58, 101463,1694.1,1583,0,7787,7571,0,75818,65890,60.40,674,10137,0,0,0,0,0,10395,18833,51.00,170,1420,56492,129025,4.00,283,76149,0,0,0,0,0
"Logical Syntax",0.94,3.70,8.60,4.40,0,1,1,7,1,20,0, 10, 16, 7, 1, 11,1,1,36, 121435, 197760, 21578, 24.60, 99587,1816.3,0,1974,1829,12608,1752,86671,120256,50.57,1039,11462,11818,24255,51.00,146,2174,0,0,0,0,0,12386,37339,0.00,56,7879,10560,15910,5.00,43,63
"Lutang",3.72,8.80,4.30,7.20,0,0,0,10,0,60,11, 35, 126, 17, 4, 10,2,4,56, 283091, 192184, 31145, 52.92, 142537,1994.7,0,0,0,19947,0,283091,192184,65.70,2280,31145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A Fluffy Dog",1.52,4.00,6.20,5.40,6,1,0,3,0,30,8, 12, 90, 11, 1, 12,0,2,48, 158563, 265827, 57711, 41.13, 105653,1758.9,11613,0,1760,4216,0,40218,37332,46.33,295,3655,0,0,0,0,0,106809,202386,57.83,1211,50827,11536,26109,3.00,62,3229,0,0,0,0,0
"LoliAshe",3.25,5.40,4.00,7.60,5,0,0,5,0,40,4, 24, 96, 17, 2, 9,3,4,52, 174577, 224184, 26396, 92.98, 117724,1854.9,9926,0,0,8623,0,109406,62602,64.00,951,10267,0,0,0,0,0,65171,161582,52.60,917,16129,0,0,0,0,0,0,0,0,0,0
"faivre",3.58,7.40,4.50,8.70,3,5,1,1,0,60,23, 33, 135, 11, 1, 23,4,5,53, 166358, 261978, 44596, 231.97, 125483,1977.6,5520,2131,9517,2608,0,30128,29454,59.00,244,6895,14411,21525,42.00,157,1296,48066,64853,52.00,467,6952,73753,146146,0.60,300,29453,0,0,0,0,0
