"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration"
"Tricky n Such",2.55,6.70,5.50,7.30,2,0,1,7,0,40,0,6,20,4,4,51,51.13
"Saddong Hussein",2.80,8.60,6.10,8.50,0,0,3,7,0,30,0,7,13,1,1,56,43.92
"ROX Peanutt",2.18,4.80,5.70,7.60,2,4,3,1,0,50,5,5,10,1,4,52,63.10
"kbreeezy",3.25,10.00,5.70,8.50,1,2,2,4,1,90,0,14,17,5,7,52,69.97
"FG Lynx",1.33,7.70,10.00,5.60,2,0,2,6,0,60,0,10,15,4,3,45,53.18
"Gustii",2.81,6.70,5.90,9.90,2,8,0,0,0,60,6,5,29,1,5,47,96.67
"Bonbonagaz",1.98,5.10,5.30,5.40,7,1,1,0,1,50,5,24,13,2,4,42,58.48
"Noobsnack",2.55,10.60,8.20,10.30,2,2,1,5,0,50,0,18,19,2,4,60,98.32
"Goronfighter",3.72,6.40,4.30,9.60,3,0,4,2,1,70,6,7,19,1,6,52,56.48
"Sally N Adolphs",2.50,5.80,7.00,11.70,0,2,3,5,0,40,3,9,12,2,4,54,96.58
"crywolfx",1.82,3.80,5.60,6.40,0,3,4,3,0,40,2,5,12,3,0,38,77.18
"zroow",2.44,3.20,7.20,14.40,0,2,0,0,8,40,0,3,21,3,3,55,82.12
"UnknownWizard",2.33,5.40,5.80,8.10,5,1,4,0,0,40,6,8,14,3,4,46,83.45
"Slaying Immortal",2.45,6.20,6.20,9.00,5,2,2,1,0,70,2,15,20,1,6,46,171.53
"youraime",2.57,7.50,5.80,7.40,3,0,7,0,0,80,2,12,19,4,3,49,45.82
"i7 FTW",2.85,3.50,6.10,13.90,3,0,0,4,3,50,9,5,23,4,3,57,44.95
"Reaper Areios",3.31,10.10,6.10,10.10,2,0,1,7,0,60,1,15,19,0,4,59,54.08
"GSguerrilla",3.02,0.90,4.00,11.20,0,0,0,0,9,56,11,2,8,5,0,49,28.90
"Luke Than 3102",2.46,3.50,7.00,13.70,0,3,1,2,4,40,10,7,13,2,3,55,94.05
"WODHEmperor",2.75,7.80,6.80,10.90,0,0,3,7,0,40,19,15,13,4,3,57,73.95
"CatacombDragon",3.02,6.90,6.40,12.40,3,5,2,0,0,50,8,7,18,0,3,55,110.35
"dmghost",2.40,4.90,4.70,6.40,3,1,4,0,2,40,0,17,13,1,2,47,132.65
"PotatoTheMan",3.38,3.50,3.90,9.70,2,3,0,0,5,50,2,10,25,3,6,48,138.88
"Zespider",2.56,2.80,5.90,12.30,0,2,0,0,8,40,4,8,22,1,2,57,375.95
"Taipei WetWetDer",2.79,6.70,5.30,8.10,5,3,2,0,0,50,1,5,20,1,7,51,87.33
"Zukoskiller",3.52,2.20,4.00,11.90,1,1,2,0,6,50,21,2,17,6,4,50,25.42
"zCannibalz",2.28,5.40,5.40,6.90,8,0,2,0,0,80,2,16,23,2,7,39,38.47
"ColorlessBubble",2.80,6.90,4.90,6.80,0,0,2,8,0,40,6,11,17,2,1,48,82.27
"Lonesome Warrior",1.94,4.40,6.60,8.40,6,0,1,2,1,70,4,13,21,4,3,42,121.68
"coolbro50",2.72,5.90,5.80,9.90,0,2,5,1,2,60,4,7,16,1,8,43,39.05
"zorio64",1.91,2.50,5.70,8.40,4,0,1,0,5,40,1,6,18,2,4,47,54.08
"stonelotus",3.93,1.90,4.40,15.40,1,0,0,0,9,80,20,6,24,0,9,49,75.35
"HeroAran",2.97,3.50,6.00,14.30,2,2,0,0,6,80,5,11,28,4,4,45,59.07
"Zlemonman",2.15,8.30,6.60,5.90,1,6,3,0,0,50,2,12,11,4,4,47,73.75
"W0RLDBREAKER",2.91,2.10,4.50,11.00,0,0,0,1,9,60,10,2,16,0,8,48,29.38
"BIink 182",2.10,9.20,8.00,7.60,0,0,3,6,1,30,0,9,13,1,3,56,53.30
"Rengooo",1.93,4.40,5.40,6.00,3,2,3,1,1,20,5,4,10,2,3,42,21.12
"Sesshomar",1.99,3.00,6.90,10.70,6,4,0,0,0,50,26,8,20,0,6,44,143.58
"aburntrose",2.69,6.00,4.80,6.90,0,4,4,2,0,70,5,10,21,5,4,46,88.10
"cheesybacon22",3.31,1.20,5.20,16.00,0,0,0,0,10,80,35,1,23,3,5,54,21.08
"Path Revisited",5.09,7.70,3.20,8.60,5,1,4,0,0,60,4,14,16,4,4,62,48.55
"scooter780",2.23,6.60,6.40,7.70,3,7,0,0,0,90,14,18,22,4,4,41,155.32
"The Real Heimer",1.69,5.50,6.50,5.50,4,1,4,1,0,20,23,8,21,4,3,43,73.50
"Hoodie Allen",3.43,2.10,4.70,14.00,1,0,1,1,7,60,4,2,18,5,8,56,39.37
"CJ2SIK",1.72,5.10,8.10,8.80,4,0,6,0,0,50,8,7,19,2,1,47,124.50
"Mr Caruso",2.77,7.80,5.60,7.70,0,1,0,9,0,60,0,22,18,5,8,54,21.15
"jaschen",3.12,7.90,4.90,7.40,0,4,0,6,0,70,0,18,19,6,5,52,110.60
"springjin",3.06,3.90,4.70,10.50,0,3,2,0,5,40,6,4,15,3,0,52,48.43
"Blendsomefruit",2.75,7.60,5.20,6.70,0,2,2,6,0,60,0,18,20,0,5,49,48.28
