"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration","AvgGameLength"
"Huntits",2.31,5.50,4.80,5.60,5,1,0,4,0,30,4,7,8,0,3,45,55.30,1974.8
"TFB0YS",2.55,10.30,6.40,6.00,0,1,6,2,1,50,10,6,16,2,2,51,65.95,2041
"Arizor",5.19,2.60,3.10,13.50,0,0,0,0,10,70,31,12,19,4,4,54,76.45,1880.8
"Seng",2.28,4.30,5.80,8.90,1,4,5,0,0,60,2,5,15,0,3,55,67.93,1993.8
"BaneFire344",1.86,5.80,6.40,6.10,2,2,6,0,0,30,1,7,12,1,1,45,52.58,2102.6
"BoxRavanger",3.26,6.00,5.00,10.30,5,2,0,3,0,60,2,18,21,7,3,47,89.43,1940.7
"Drakomagnum",2.84,12.40,7.50,8.90,0,5,5,0,0,50,8,9,16,1,2,62,70.68,2095.9
"Dadmin Cookie",5.77,2.50,3.50,17.70,0,0,3,0,7,60,11,6,17,3,3,68,74.00,2093.8
"Iravnax",2.50,4.60,5.40,8.90,2,0,2,3,3,30,5,5,14,4,2,61,81.93,2132.9
"reinvent",2.18,5.20,5.60,7.00,0,3,1,6,0,50,9,6,13,1,4,46,65.52,1837.1
"MartianC",3.73,4.10,4.00,10.80,1,5,0,1,3,70,7,7,13,2,3,54,107.20,1767.1
"EternalWar",1.92,5.60,6.30,6.50,4,4,0,0,2,40,17,1,12,1,4,46,103.30,1906.4
"Go Ms Peach Go",3.84,7.10,4.30,9.40,7,1,1,0,1,60,18,8,17,2,4,58,160.93,1963.1
"heiheihei Daddy",3.88,6.00,4.00,9.50,0,5,2,3,0,40,7,9,10,2,1,57,100.43,1965.7
"kyokeun",6.50,2.60,2.20,11.70,0,0,0,0,10,50,26,4,15,3,2,61,55.72,1816.3
"RandyC",3.46,4.90,3.50,7.20,1,3,2,3,1,50,0,16,11,2,3,46,78.15,2000.3
"MissLT",2.50,7.50,6.20,8.00,2,0,8,0,0,30,16,8,12,2,4,60,101.53,2027.7
"Rusty Sullivan",2.23,6.40,6.60,8.30,1,1,5,2,1,50,1,5,19,2,5,54,59.33,2012.4
"SmallPotatoLar",2.65,8.40,6.00,7.50,0,1,0,9,0,50,9,16,8,2,5,59,40.33,2105.4
"Gargoyle753",1.00,3.80,7.20,3.40,7,3,0,0,0,20,6,6,10,0,3,36,47.90,1745.6
"tknyc",2.41,0.90,4.40,9.70,1,0,0,0,9,40,33,0,12,3,5,44,117.75,1984.5
"RaptorFrisbee",2.08,4.10,7.30,11.10,2,1,0,3,4,30,11,8,14,2,2,50,41.23,2021.4
"AstridButterfly",2.62,11.10,6.80,6.70,5,5,0,0,0,70,12,22,18,4,4,57,94.25,1887.1
"akilla3333",2.15,7.90,6.00,5.00,0,0,1,9,0,60,6,14,10,3,6,50,49.75,1949.2
"SuperImposer",2.43,3.80,7.20,13.70,0,1,0,2,7,50,22,5,20,3,4,57,41.38,1933.8
"NobleArgon",1.64,4.40,6.60,6.40,0,2,0,4,4,50,10,10,11,2,2,43,31.57,1858.3
"Noks3n",2.81,2.30,5.20,12.30,0,0,1,0,9,40,24,1,13,1,2,63,66.93,1958.6
"Walrüs",2.13,5.70,5.60,6.20,7,0,0,3,0,30,0,14,10,0,1,51,103.82,2007.9
