SummonerName,KDA,AvgKills,AvgDeaths,AvgAssists,TOP_played,JUNGLE_played,MID_played,ADC_played,SUPPORT_played,WinRate,VisionWards,WardsKilled,WardsPlaced,TowersKilled,InhibitorKills,DragonsKilled,RiftHeraldKilled,BaronKilled,KillContribution,TotalDamageDealtToChampions,TotalDamageTaken,TotalHeal,CCDuration,GoldEarned,AvgGameLength,topPlayedLength,midPlayedLength,junglePlayedLength,adcPlayedLength,supportPlayedLength,D_ADC,DT_ADC,CS_zeroToTen_ADC,CS_ADC,H_ADC,D_MID,DT_MID,CS_zeroToTen_MID,CS_MID,H_MID,D_TOP,DT_TOP,CS_zeroToTen_TOP,CS_TOP,H_TOP,D_JG,DT_JG,CS_zeroToTen_JG,CS_JG,H_JG,D_SUP,DT_SUP,CS_zeroToTen_SUP,CS_SUP,H_SUP
Always Blaming,1.61,4.7,6.6,5.9,3,0,6,0,1,40,24,46,145,13,1,9,3,3,46,240626,224974,29696,89.5,117838,1829.6,5003,11809,0,0,1484,0,0,0,0,0,166071,128817,75.5,1416,10304,62107,86857,63.67,590,18536,0,0,0,0,0,12448,9300,4,18,856
Damonte,1.93,4.2,5.5,6.4,1,0,9,0,0,40,17,23,100,6,1,5,3,3,52,179775,200989,22670,41.13,116355,1762.1,1280,16341,0,0,0,0,0,0,0,0,168031,186441,76.22,1896,18962,11744,14548,58,135,3708,0,0,0,0,0,0,0,0,0,0
Never Blaming,2.3,6.7,5.7,6.4,1,4,5,0,0,30,13,35,95,8,1,13,3,6,60,223640,309335,92877,76.43,123152,1773.3,2929,7816,6988,0,0,0,0,0,0,0,108185,104997,67.2,856,17589,30396,64423,73,216,15989,85059,139915,14.75,365,59299,0,0,0,0,0
dT Hoglet,3.18,6.8,4.9,8.8,1,7,0,1,1,80,19,56,151,8,1,16,5,5,63,203859,254760,76196,103.17,123933,1676.9,1860,0,10602,2280,2027,30020,31580,75,267,3220,0,0,0,0,0,36524,36646,78,271,13011,127265,160984,4.29,649,56275,10050,25550,14,55,3690
REN Freeze,2.86,4.1,3.6,6.2,0,0,0,10,0,50,4,31,72,22,2,11,6,2,46,178560,150845,25890,20.88,116041,1637.8,0,0,0,16378,0,178560,150845,73.8,1994,25890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butler Delta,2.84,3.4,4.3,8.8,6,0,4,0,0,40,25,31,137,7,1,15,3,4,55,191706,212356,58975,206.5,122488,1812.8,10000,8128,0,0,0,0,0,0,0,0,91398,104749,60.5,878,32285,100308,107607,63.83,1197,26690,0,0,0,0,0,0,0,0,0,0
fragas is a rat,3.82,6.9,3.8,7.6,0,0,1,9,0,50,2,59,123,24,5,19,7,11,52,225309,192430,35585,72.85,152337,2070.2,0,1607,0,19095,0,214645,177429,70.44,2215,34736,10664,15001,68,161,849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1035716423,2.59,6.6,6.8,11,3,4,0,3,0,50,14,36,129,9,4,12,5,3,61,202979,288905,50567,117.03,125762,1901.8,6454,0,7417,5147,0,67634,56435,58.67,591,10721,0,0,0,0,0,72932,105036,60.67,547,11524,62413,127434,3.75,326,28322,0,0,0,0,0
iq1035716423,2.85,0.8,4.6,12.3,0,0,0,0,10,60,40,99,276,2,1,13,2,6,56,65116,170529,41418,49.55,84734,1723.4,0,0,0,0,17234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65116,170529,8.9,347,41418
Lohpally,3.49,1.1,4.1,13.2,1,0,0,0,9,50,40,79,272,4,0,11,2,5,61,75351,178797,86776,33.47,98108,1874.7,1297,0,0,0,17450,0,0,0,0,0,0,0,0,0,0,4816,10950,50,127,694,0,0,0,0,0,70535,167847,9,329,86082
