"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","topPlayedLength","midPlayedLength","junglePlayedLength","adcPlayedLength","supportPlayedLength","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP"
"DuffMasters",2.76,4.50,4.50,7.90,6,3,0,0,0,67,11, 51, 31, 16, 4, 16,1,1,37, 176456, 231928, 44749, 93.23, 118639,2231.4444444444443,13883,0,6200,0,0,0,0,0,0,0,0,0,0,0,0,144804,134768,49.67,1166,6236,31652,97160,1.67,191,38513,0,0,0,0,0
"mexicaneaner69",3.02,4.50,4.40,8.80,1,0,0,6,3,40,0, 12, 84, 3, 0, 14,1,4,41, 156444, 135190, 22076, 45.88, 101377,2033.3,1219,0,0,11948,7166,88443,80509,19.17,391,12977,0,0,0,0,0,6011,5220,60.00,114,1093,0,0,0,0,0,61990,49461,8.33,163,8006
"belcoot",1.20,3.50,9.00,7.30,1,0,1,4,4,30,0, 8, 133, 3, 1, 14,3,1,38, 112723, 262645, 19865, 74.87, 94268,1863.3,2539,2303,0,7340,6451,47096,97764,21.00,320,6304,22383,28182,47.00,188,531,20186,54750,45.00,122,1984,0,0,0,0,0,23058,81949,8.75,117,11046
"gustavarcus",1.43,5.90,8.00,5.50,4,3,0,2,1,20,0, 14, 71, 7, 0, 13,6,0,35, 164804, 317311, 59893, 115.45, 126570,2246.2,8563,0,8282,4219,1398,43656,36495,42.00,287,3305,0,0,0,0,0,55747,128965,34.25,579,17287,63347,132041,2.33,335,35549,2054,19810,8.00,22,3752
"Jeonginator",0.45,2.10,10.20,2.50,4,1,3,1,1,30,0, 3, 21, 7, 0, 13,1,1,18, 68410, 228819, 26441, 54.53, 82139,1778.2,8534,4982,1383,1447,1436,5134,11282,45.00,100,662,14073,54187,15.67,138,2093,39953,120709,27.00,426,18074,6743,22321,0.00,45,5122,2507,20320,9.00,24,490
"KlazzifiedKing",3.49,8.20,5.50,11.00,2,1,2,3,2,70,7, 7, 83, 16, 3, 30,4,5,47, 243019, 266028, 95093, 112.75, 140463,2225.1,5033,4659,2021,5960,4578,82901,52599,44.00,509,7255,65351,61696,48.00,354,13152,47140,73509,40.50,455,16596,20607,41553,0.00,51,7824,27020,36671,6.00,51,50266
"cuzzin",2.47,3.60,8.90,18.40,0,0,1,4,5,60,9, 6, 207, 2, 0, 17,1,5,53, 150576, 360062, 100150, 176.03, 122227,2350,0,1353,0,9519,12628,85464,167103,39.75,447,64196,5901,8764,53.00,98,732,0,0,0,0,0,0,0,0,0,0,59211,184195,7.60,155,35222
"MrTheToplyn",2.77,4.10,7.10,15.60,0,0,1,4,5,40,0, 10, 279, 4, 3, 15,0,2,47, 174901, 320828, 40389, 219.62, 130320,2237.8,0,1426,0,8018,12934,67670,109901,22.75,463,11302,19894,10756,37.00,91,1321,0,0,0,0,0,0,0,0,0,0,87337,200171,6.60,538,27766
"Coutgandi",1.86,8.90,9.50,8.80,4,4,2,0,0,30,1, 4, 67, 7, 0, 15,1,4,46, 221031, 342721, 86777, 106.85, 129327,1953.2,6810,4276,8446,0,0,0,0,0,0,0,61392,69938,39.50,275,8778,72080,130265,44.25,493,12193,87559,142518,5.50,296,65806,0,0,0,0,0
"Callisto Jupiter",1.53,4.30,13.70,16.70,1,1,1,0,7,40,0, 13, 125, 2, 0, 21,1,6,45, 156114, 311082, 134763, 95.72, 125860,2447.2,3985,1973,2082,0,16432,0,0,0,0,0,27257,32621,30.00,93,3290,24023,60766,14.00,145,4339,9462,19133,0.00,2,16863,95372,198562,3.71,185,110271
"suchAthug1249",2.89,3.90,6.20,14.00,0,2,1,0,7,60,0, 5, 103, 5, 2, 17,3,2,56, 151449, 192505, 56469, 45.58, 100501,1869,0,1944,5072,0,11674,0,0,0,0,0,22073,16286,34.00,85,2989,0,0,0,0,0,62985,61557,4.50,71,9535,66391,114662,5.14,156,43945
"Xerogodz43",2.99,10.40,7.70,12.60,0,1,1,8,0,60,0, 11, 133, 14, 1, 17,4,5,52, 262031, 273136, 56463, 54.02, 141620,2178.3,0,2509,1667,17607,0,216561,213429,40.50,1113,46216,33382,35664,49.00,190,5356,0,0,0,0,0,12088,24043,4.00,57,4891,0,0,0,0,0
"Jmess",2.15,7.30,7.20,8.20,3,0,6,1,0,40,0, 4, 49, 7, 3, 16,1,0,52, 252292, 264084, 43483, 109.05, 112230,1862.9,5862,11307,0,1460,0,10810,13627,58.00,149,762,188236,153987,47.33,807,28249,53246,96470,40.67,448,14472,0,0,0,0,0,0,0,0,0,0
"thePoIarBear",1.25,6.90,10.10,5.70,5,0,4,0,1,40,1, 11, 83, 16, 5, 16,1,3,40, 244152, 438463, 71749, 51.10, 120125,2063.3,11108,7087,0,0,2438,0,0,0,0,0,68418,104827,38.25,410,11969,164346,304013,48.40,857,57937,0,0,0,0,0,11388,29623,6.00,49,1843
