"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","topPlayedLength","midPlayedLength","junglePlayedLength","adcPlayedLength","supportPlayedLength","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP"
"Ness Wizard",4.57,7.10,2.80,5.70,7,3,0,0,0,60,20, 92, 149, 13, 3, 12,9,7,46, 177731, 196708, 37792, 68.35, 151335,1904.2,12727,0,6315,0,0,0,0,0,0,0,0,0,0,0,0,121979,122878,72.71,1746,11986,55752,73830,16.00,291,25806,0,0,0,0,0
"Cris",2.40,5.00,5.20,7.50,5,1,4,0,0,60,17, 27, 138, 20, 2, 14,3,7,50, 214856, 255172, 36331, 83.20, 125006,1776.6,9905,7007,854,0,0,0,0,0,0,0,83458,90795,63.25,829,11484,125938,154877,65.20,1133,24587,5460,9500,51.00,5,260,0,0,0,0,0
"PandaTV Xiaoxin",2.54,5.70,5.00,7.00,3,1,5,1,0,50,17, 28, 122, 6, 0, 20,1,3,45, 181356, 227015, 45357, 56.03, 117219,1725.2,5015,9023,1779,1435,0,11131,15264,64.00,171,2116,107784,100330,74.60,1015,11308,40287,81380,74.00,632,20314,22154,30041,4.00,79,11619,0,0,0,0,0
"Duocek",3.47,5.00,4.50,10.60,0,1,9,0,0,60,30, 77, 168, 12, 5, 18,6,9,62, 215904, 256715, 69396, 160.37, 136010,2014.8,0,17662,2486,0,0,0,0,0,0,0,180077,216559,74.67,1898,45683,0,0,0,0,0,35827,40156,9.00,104,23713,0,0,0,0,0
"CJE Kramer",4.03,6.20,3.40,7.50,0,3,0,7,0,70,9, 35, 87, 18, 2, 12,4,5,61, 182910, 176665, 39585, 86.75, 125657,1687.8,0,0,4439,12439,0,148859,122921,71.14,1593,22008,0,0,0,0,0,0,0,0,0,0,34051,53744,8.33,228,17577,0,0,0,0,0
"Poppers OP",1.77,3.70,5.30,5.70,1,2,7,0,0,20,15, 16, 119, 3, 2, 6,3,2,48, 177968, 198088, 27098, 89.25, 98895,1624.7,1667,11847,2733,0,0,0,0,0,0,0,142084,128289,69.86,1305,17686,14593,29549,67.00,173,2648,21291,40250,4.50,117,6764,0,0,0,0,0
"Shiphtur",5.10,6.60,2.90,8.20,2,0,6,0,2,60,29, 41, 171, 21, 3, 12,4,4,58, 186295, 184619, 42403, 63.28, 129675,1795.6,4290,10101,0,0,3565,0,0,0,0,0,96688,75618,70.33,1306,12447,64769,72479,61.50,512,20949,0,0,0,0,0,24838,36522,1.50,28,9007
"Arcsecond",3.57,6.30,3.70,6.90,1,3,5,1,0,60,10, 81, 92, 11, 3, 14,2,6,58, 246220, 215147, 45818, 128.93, 131295,1902.7,1382,9545,5228,2872,0,58164,29830,75.00,294,6787,120331,84395,77.40,1183,9198,15209,18729,69.00,163,3237,52516,82193,5.33,255,26596,0,0,0,0,0
"Beasted",3.00,7.10,4.50,6.40,3,5,1,1,0,60,8, 44, 76, 16, 2, 17,1,7,58, 192911, 252184, 70461, 67.78, 129118,1770.4,4979,1897,9085,1743,0,18631,29694,67.00,208,3399,26595,25559,66.00,244,7295,39804,55808,60.67,605,6259,107881,141123,6.20,448,53508,0,0,0,0,0
"OG DoubleG",4.03,4.10,3.90,11.60,1,0,1,4,4,80,27, 50, 168, 12, 2, 14,0,4,53, 138932, 164124, 32833, 57.48, 119805,1831.6,2490,1242,0,6977,7607,73920,54400,86.75,989,8038,16644,10951,77.00,127,1064,20945,25933,72.00,240,4249,0,0,0,0,0,27423,72840,2.50,71,19482
"Solarshower",3.62,1.90,3.40,10.40,0,0,0,1,9,40,24, 83, 253, 4, 0, 14,4,4,61, 61020, 186422, 42778, 19.55, 81197,1751.5,0,0,0,804,16711,1085,3716,8.00,9,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59935,182706,13.11,390,42238
