"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength"
"NobleArgon",1.87,5.60,6.70,6.90,0,0,4,6,0,40,7, 20, 109, 9, 2, 21,2,3,43, 184456, 177115, 25913, 48.85, 116747,1939
"Noks3n",2.81,2.30,5.20,12.30,0,0,1,0,9,40,24, 68, 220, 1, 0, 13,1,2,63, 105185, 194651, 48965, 66.93, 96874,1958.6
"Walrüs",1.92,5.80,6.00,5.70,0,0,2,8,0,30,1, 8, 65, 7, 3, 13,2,0,50, 175148, 182457, 26518, 36.57, 118052,1875.9
"Magnus714",5.25,6.40,2.80,8.30,0,6,1,3,0,60,0, 41, 119, 20, 2, 15,1,5,58, 174153, 282509, 62190, 128.27, 135144,1961
"Sierlex",2.00,2.80,6.80,10.80,0,0,3,0,7,50,16, 40, 165, 0, 1, 14,3,3,48, 116831, 248204, 38844, 31.05, 103671,1980.3
"Athios",2.09,3.20,4.60,6.40,0,1,0,5,3,33,10, 35, 135, 6, 1, 12,2,2,48, 112461, 175804, 55732, 68.60, 95693,1875.6666666666667
"Jawwseus",2.57,5.80,5.30,7.80,4,0,6,0,0,30,11, 14, 97, 3, 3, 15,2,2,48, 193942, 205185, 16661, 64.38, 116800,2009.5
"Banmabu2",3.21,13.00,5.80,5.60,0,1,9,0,0,70,0, 19, 98, 13, 3, 19,1,0,56, 271338, 284113, 62508, 143.10, 143580,1953.3
"Elizabeth Tran",1.60,2.70,4.50,4.50,1,2,3,0,4,30,4, 19, 119, 1, 1, 7,2,1,43, 97307, 158961, 27069, 40.08, 85938,1792.1
"Mid Or Dodge",2.03,5.80,6.60,7.60,0,1,6,3,0,60,14, 8, 115, 12, 1, 22,1,4,56, 197857, 243925, 45558, 63.65, 109544,1777.1
"Mxa Supra",2.56,7.70,5.90,7.40,4,0,6,0,0,40,25, 17, 190, 17, 2, 18,3,4,58, 317222, 281753, 26979, 141.02, 153012,2197
"visaing88",4.74,8.10,3.80,9.90,0,0,0,10,0,50,9, 28, 96, 22, 3, 12,0,6,63, 263197, 163716, 29097, 67.45, 149144,2122.2
"Alina Li",1.22,2.70,5.00,3.40,0,0,3,5,2,20,0, 10, 64, 6, 0, 9,4,1,40, 90707, 134207, 8628, 27.65, 82125,1545.6
