"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration","AvgGameLength"
"AsianSGpotato",2.77,6.20,4.00,4.90,0,0,4,6,0,70,11,20,14,1,3,46,43.38,1768.4
"Easy",2.67,4.20,3.90,6.20,0,0,5,4,1,60,13,9,19,1,3,47,66.45,1631.2
"Hide on bench",3.86,6.40,2.90,4.80,1,1,0,8,0,90,7,21,11,4,1,50,43.40,1321
"Liquid fabbbyyy",2.54,6.20,5.90,8.80,1,0,0,9,0,80,3,17,13,5,8,62,39.83,1667.4
"Brian The is",2.63,3.60,4.00,6.90,8,0,1,0,1,70,9,12,12,3,3,39,57.73,1612.5
"zentinelq",4.64,7.00,3.90,11.10,0,10,0,0,0,70,20,10,16,3,6,65,130.52,1900
"myQQ1035716423",2.91,7.10,4.70,6.60,3,3,0,4,0,40,21,11,12,2,4,49,86.35,2006
"mid is sucess",3.63,6.00,3.20,5.60,0,0,10,0,0,60,24,10,9,2,7,42,34.42,1686.5
"Hakuho",2.53,2.40,4.90,10.00,0,1,0,0,9,70,43,5,12,5,4,50,28.45,1771.8
"Stebb",1.81,4.30,5.90,6.40,0,1,0,9,0,30,13,19,6,0,2,54,42.22,1657.5
"MrJuneJune",2.87,8.90,5.40,6.60,3,0,7,0,0,60,7,11,10,2,3,57,45.37,1593
"Like a Ninja",2.80,5.00,4.90,8.70,0,1,6,0,3,40,29,7,7,2,6,62,48.10,1684.1
"ApoIlo Price",3.02,7.60,4.70,6.60,0,0,0,9,1,50,26,21,9,4,1,52,20.88,1616.9
"caaaaaaaaaaaaake",3.15,7.30,4.10,5.60,0,2,1,7,0,50,9,19,8,4,2,60,66.87,1451.6
"Banana Baileys",1.62,4.20,6.10,5.70,6,0,4,0,0,30,0,9,11,3,3,49,49.15,1797.2
"WEQ",1.79,7.80,7.00,4.70,2,8,0,0,0,40,0,9,19,5,3,54,98.92,1852.2
"GnVreQK1O",1.64,1.50,5.50,7.50,0,0,1,4,5,40,14,3,13,2,2,39,57.85,1693.8
"TM8",4.38,11.30,4.20,7.10,0,4,0,6,0,100,19,18,13,5,8,60,60.17,1714.4
"An Obese Panda",2.37,5.10,5.10,7.00,0,9,1,0,0,30,28,3,6,1,3,56,113.08,1552.6
"mth",2.63,5.90,5.20,7.80,1,4,5,0,0,60,24,10,12,3,3,55,93.93,1856
"Jjangg",2.42,5.80,5.70,8.00,0,1,5,4,0,30,24,8,12,3,6,53,97.93,1962.3
"Janna Mechanics",4.26,0.30,3.40,14.20,0,1,0,1,8,60,28,2,10,4,4,64,34.70,1737
"qldurtms",2.49,6.70,4.70,5.00,0,1,9,0,0,50,27,5,5,2,3,51,45.65,1622.6
"dT Dart",1.68,5.30,6.80,6.10,5,0,1,1,3,50,15,14,15,4,6,48,75.48,1785.3
"TransIogic",3.52,7.40,4.20,7.40,0,2,7,0,1,80,28,9,12,2,3,56,60.92,1690.3
"The Tank Man",2.05,1.50,5.60,10.00,0,0,1,0,9,30,8,3,10,1,2,57,20.40,1757.7
"Rikara",5.71,6.60,2.40,7.10,0,1,0,9,0,100,11,20,10,6,3,60,13.82,1346.8
"Diamond",2.61,5.10,4.60,6.90,1,0,3,6,0,40,15,15,13,2,6,48,64.42,2013.3
"DW shernfire ROC",2.15,4.70,5.20,6.50,0,9,1,0,0,30,32,2,7,2,1,62,69.65,1455.7
"scarra",2.72,5.80,5.40,8.90,4,4,2,0,0,70,26,5,13,7,8,52,106.80,1896.8
"Magic King Vamb",2.53,5.70,5.50,8.20,3,4,3,0,0,50,35,4,12,1,4,54,125.45,1767.7
"OMG pop",2.44,4.10,5.00,8.10,6,4,0,0,0,60,27,11,19,1,6,47,304.50,1975.9
"Abusingthesystem",2.23,7.90,5.60,4.60,0,9,1,0,0,40,6,3,12,5,2,58,97.82,1640.3
"BOOMSHAKALAKAAAA",3.40,6.60,4.00,7.00,0,8,2,0,0,60,0,6,6,1,1,58,98.13,1504.6
"Annie Bot",2.60,4.80,4.70,7.40,6,0,3,0,1,70,12,10,19,4,8,48,51.27,1870.3
"C10 Meteos",3.93,6.00,4.10,10.10,0,6,0,0,4,50,25,7,12,7,4,62,93.27,1794.2
"Im Papa Chau",4.93,1.40,2.90,12.90,0,0,0,2,8,70,33,10,17,6,6,65,17.40,1582
"Jeem",4.13,5.20,3.20,8.00,0,0,1,8,1,80,4,9,12,7,6,52,50.45,1873.6
"maplestreet LFT",2.04,3.90,4.50,5.30,1,0,1,7,1,50,11,14,12,3,1,50,31.35,1557.7
"kT Smurf",3.62,7.00,3.90,7.10,7,1,2,0,0,60,10,15,12,4,6,54,97.93,1793.1
"OmarGod",4.11,7.00,3.70,8.20,1,9,0,0,0,80,14,8,16,7,5,61,99.50,1582.9
"Super QQQ",1.73,4.50,6.60,6.90,4,2,4,0,0,50,9,5,16,3,4,46,135.32,1759.6
"sexycan",2.83,8.20,5.80,8.20,4,5,1,0,0,70,9,13,18,3,10,54,139.87,1878.9
"1035716423qqqq",1.99,4.90,6.80,8.60,0,1,4,1,4,30,41,4,9,4,4,55,69.58,1775.8
"TheeBrandini",2.75,4.00,4.00,7.00,5,1,1,1,2,50,30,5,10,10,3,54,85.10,1631.9
"Lackless",4.00,6.20,3.60,8.20,2,8,0,0,0,70,11,14,15,5,7,57,126.00,1773
"Quantum Fizzics",4.42,4.90,3.60,11.00,1,2,2,0,5,60,27,6,14,2,7,63,85.70,1962.4
"teradcujn",4.86,6.50,3.50,10.50,1,1,0,8,0,80,0,20,16,4,10,59,131.40,1774.3
"Aranium",4.03,5.00,3.50,9.10,0,0,8,2,0,80,23,17,16,7,6,51,55.52,1754.8
"Chody Walrus",2.63,5.40,4.30,5.90,0,8,1,1,0,50,29,4,19,6,7,48,126.65,1907.5
"Prototard Bad",4.34,6.10,3.20,7.80,0,1,0,9,0,70,18,21,11,5,6,64,86.35,1674.9
"Pekin Woof",3.21,5.30,3.30,5.30,1,0,8,1,0,70,23,10,3,3,2,50,35.55,1502.3
"fallenbandit",2.87,5.50,5.40,10.00,6,0,3,1,0,80,16,23,15,8,6,54,49.32,1728.3
"MBR Solo",2.43,5.50,4.90,6.40,9,0,1,0,0,40,27,12,10,4,7,50,173.23,2033.2
"BestGravesCnMA",8.59,7.50,2.20,11.40,0,7,0,3,0,80,19,14,22,2,9,68,114.85,2008.2
"Knight Lance",2.06,3.50,4.80,6.40,2,0,2,4,2,30,12,6,15,0,2,52,87.43,1696.7
"hi im gosu",1.78,5.80,6.50,5.80,0,0,1,9,0,40,5,16,11,1,3,52,33.25,1607.9
"BillysBoss",4.91,7.00,3.20,8.70,8,1,0,0,1,70,27,9,12,6,5,56,160.85,1743.7
"Bischu",3.70,1.30,4.40,15.00,0,0,0,0,10,60,65,1,14,3,5,61,34.53,1813.8
"TheAirIsDry",1.98,1.90,4.90,7.80,1,0,0,2,7,30,43,4,8,4,1,46,41.82,1675.5
"Qkuzi",2.48,4.30,5.20,8.60,4,2,3,0,1,50,25,5,11,4,2,56,97.95,1824.6
"XinxinQ",4.85,3.30,2.00,6.40,2,0,6,1,1,70,23,4,11,3,0,44,50.68,1371.7
"C9 Jensen",1.68,5.80,7.30,6.50,0,0,10,0,0,30,21,4,8,3,3,48,55.57,1775.9
"migukgirl",6.45,10.00,3.10,10.00,4,1,5,0,0,90,22,13,15,4,8,62,38.52,1839
"HoldpiggInHandxf",1.96,2.90,4.80,6.50,4,0,4,1,1,40,10,3,9,7,7,47,43.93,1663.1
"Bombay Kitten",1.85,4.90,5.90,6.00,6,1,3,0,0,40,9,5,10,5,3,46,64.70,1739.3
"NME import",4.71,5.30,2.80,7.90,0,6,3,0,1,70,2,8,13,4,2,59,63.98,1468.4
