"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration"
"CBS Nemesis",2.88,5.80,5.00,8.60,1,7,1,0,1,80,1,13,20,2,3,44,89.05
"BroncosMan94",3.43,7.60,5.10,9.90,2,7,1,0,0,80,19,9,14,2,5,54,202.98
"voggiebear10",1.46,5.70,7.60,5.40,2,5,3,0,0,40,7,4,12,2,3,44,73.98
"Three Feet Longd",3.24,3.50,4.50,11.10,2,2,1,1,4,60,11,5,16,1,2,47,111.62
"nemotheporo",2.42,7.30,6.20,7.70,3,0,4,3,0,30,28,11,7,1,3,56,78.22
"swagasorausrex",2.21,3.80,5.20,7.70,4,3,0,1,2,70,6,10,17,0,3,48,91.67
"Master Glencour",1.69,5.40,8.60,9.10,0,4,3,1,2,50,1,2,22,1,5,42,38.12
"Kreepydude",2.85,5.00,5.90,11.80,0,4,0,3,2,44,8,7,19,0,3,49,75.42
"bloonpopper69",2.04,9.40,8.30,7.50,0,0,3,7,0,40,0,7,12,1,3,51,51.88
"WindxPhoenix",1.16,3.50,6.10,3.60,10,0,0,0,0,40,0,8,17,3,4,28,18.57
"josh000123",4.73,8.00,3.70,9.50,0,2,0,8,0,60,0,9,17,1,3,56,142.28
"JustTooSmexy",2.18,6.30,5.70,6.10,3,0,4,3,0,50,1,15,16,3,3,42,20.27
"Sepire",3.85,2.40,3.90,12.60,0,0,1,0,9,80,27,9,16,4,2,55,35.63
"HAAAA GOT EM",2.26,6.10,6.60,8.80,1,0,3,5,1,50,6,17,14,4,4,56,24.02
"Haleybadaily",2.85,9.20,5.40,6.20,4,1,2,3,0,60,11,15,16,5,1,59,34.02
"blackbird7089",2.83,0.70,4.10,10.90,0,0,0,0,10,40,18,0,11,4,3,46,24.95
"batwingcrunchies",2.71,4.20,5.10,9.60,1,3,2,0,4,50,0,9,11,2,2,51,40.00
"bossdan17",1.33,4.30,8.20,6.60,1,4,3,0,2,60,3,6,21,4,5,39,58.05
"Gx3 Chidori",3.94,15.40,5.30,5.50,0,0,8,2,0,50,6,15,19,1,5,60,121.88
"Ulrickque",1.27,1.70,7.80,8.20,0,0,0,1,9,40,3,2,14,1,3,41,92.27
"Timstonman",1.85,2.60,7.30,10.90,0,0,1,2,7,30,3,3,10,0,1,53,42.78
"VaIkyria",1.78,2.40,7.20,10.40,1,3,0,0,6,30,12,3,10,6,4,45,61.73
"Armisticeismagic",2.33,3.40,4.50,7.10,0,3,0,5,2,50,17,10,19,4,4,39,80.75
"LODDD",2.25,7.30,7.20,8.90,1,4,3,0,2,40,0,9,16,1,2,50,127.17
"Hypnagogia",4.81,7.60,3.10,7.30,0,1,9,0,0,60,6,12,15,4,2,56,158.62
"SupahDave",3.19,5.00,5.20,11.60,3,7,0,0,0,90,1,17,25,6,4,42,70.78
"ANARCHlST",3.49,9.40,3.90,4.20,0,7,0,2,1,70,0,20,14,4,3,54,128.17
"El Jakari",1.90,8.50,8.70,8.00,0,0,6,4,0,60,17,12,16,3,2,57,34.33
"Big Clock Sucker",2.17,1.90,6.00,11.10,0,1,0,0,9,60,9,3,11,0,0,48,29.23
"Cadenx",3.13,5.40,4.60,9.00,5,0,0,4,1,50,0,16,19,2,2,46,56.43
