"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","topPlayedLength","midPlayedLength","junglePlayedLength","adcPlayedLength","supportPlayedLength","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP"
"HweSang",2.02,4.90,4.80,4.80,0,4,0,6,0,10,12, 37, 87, 4, 2, 7,0,0,57, 146210, 174895, 65498, 41.43, 96667,1545.3,0,0,6781,8672,0,60236,80326,58.50,962,10923,0,0,0,0,0,0,0,0,0,0,85974,94569,8.75,322,54575,0,0,0,0,0
"Bes",3.26,5.90,4.20,7.80,0,4,0,6,0,70,6, 27, 86, 22, 2, 17,4,7,50, 195126, 201280, 48513, 88.30, 120127,1741.2,0,0,6630,10782,0,132417,109322,66.83,1080,18024,0,0,0,0,0,0,0,0,0,0,62709,91958,1.50,318,30489,0,0,0,0,0
"Certified Noob",2.81,6.90,4.30,5.20,3,1,5,1,0,60,22, 38, 109, 15, 2, 14,4,4,53, 177433, 190577, 34442, 37.75, 114306,1684.1,4782,7667,2612,1780,0,17265,16460,40.00,140,2211,82538,70703,78.20,869,2934,53258,60777,70.00,584,11412,24372,42637,5.00,95,17885,0,0,0,0,0
"Freakenpope",3.77,4.90,3.00,6.40,0,8,2,0,0,70,31, 45, 70, 8, 0, 12,2,3,56, 129406, 204336, 76244, 91.15, 101110,1589.2,0,3185,12707,0,0,0,0,0,0,0,26274,27595,59.50,282,11636,0,0,0,0,0,103132,176741,7.38,600,64608,0,0,0,0,0
"GATO DarkLicking",2.16,1.90,4.90,8.70,2,0,0,1,7,30,16, 39, 150, 4, 0, 11,3,0,60, 84270, 155169, 40690, 44.12, 80950,1545,3179,0,0,797,11474,1399,4985,13.00,13,711,0,0,0,0,0,27139,37136,67.50,413,4423,0,0,0,0,0,55732,113048,4.86,114,35556
"Valkroth",2.64,3.30,4.70,9.10,5,1,0,0,4,50,17, 57, 231, 6, 2, 15,5,4,54, 136677, 241512, 40644, 116.03, 107419,1889.7,9192,0,3284,0,6421,0,0,0,0,0,0,0,0,0,0,93901,127561,60.40,934,18947,23484,62709,1.00,111,17716,19292,51242,3.75,72,3981
"Etheopia",2.05,5.70,5.70,6.00,0,1,0,9,0,30,3, 33, 112, 11, 1, 11,2,3,54, 234072, 197290, 32912, 81.77, 120636,1848.2,0,0,1522,16960,0,225118,174703,61.89,1828,25340,0,0,0,0,0,0,0,0,0,0,8954,22587,5.00,60,7572,0,0,0,0,0
"Teburu X",3.16,6.00,5.00,9.80,8,0,2,0,0,60,14, 72, 133, 25, 10, 14,6,6,56, 200404, 268912, 78338, 61.07, 133285,1968.2,15891,3791,0,0,0,0,0,0,0,0,40148,45129,59.50,390,19300,160256,223783,67.50,1616,59038,0,0,0,0,0,0,0,0,0,0
"Pablohoney",2.62,4.70,4.50,7.10,0,9,1,0,0,40,17, 35, 121, 2, 1, 11,5,4,59, 127251, 249932, 97287, 81.97, 101293,1581.5,0,1988,13827,0,0,0,0,0,0,0,17274,21356,66.00,149,1344,0,0,0,0,0,109977,228576,7.44,643,95943,0,0,0,0,0
"Get the D",2.11,1.30,4.60,8.40,0,0,0,0,10,20,28, 40, 234, 1, 0, 9,1,3,51, 41064, 162729, 97007, 32.93, 74272,1729.1,0,0,0,0,17291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41064,162729,6.20,223,97007
"ARC Kawaii Crab",2.33,4.50,3.60,3.90,0,3,0,6,1,60,6, 26, 72, 13, 3, 10,3,3,40, 118455, 165474, 42518, 44.95, 107501,1572.4,0,0,4066,9975,1683,84936,79700,67.00,1206,12376,0,0,0,0,0,0,0,0,0,0,28863,56984,5.00,230,23918,4656,28790,12.00,47,6224
"Roleiz",3.18,4.50,3.80,7.60,4,4,0,2,0,60,5, 29, 114, 12, 0, 17,8,4,53, 151587, 261051, 76999, 76.83, 106711,1714.2,6380,0,7472,3290,0,26860,23914,59.50,302,2676,0,0,0,0,0,62549,97955,58.00,573,24062,62178,139182,3.75,331,50261,0,0,0,0,0
"Serky",2.04,9.40,7.60,6.10,9,1,0,0,0,30,12, 16, 143, 11, 1, 15,0,6,54, 253978, 353472, 80407, 90.12, 135547,1983,17725,0,2105,0,0,0,0,0,0,0,0,0,0,0,0,239013,319677,60.89,1827,74546,14965,33795,12.00,89,5861,0,0,0,0,0
"Japcho",2.08,3.30,4.00,5.00,7,1,2,0,0,60,20, 41, 127, 19, 3, 7,7,4,39, 162790, 191331, 89723, 30.97, 109809,1608,12141,2725,1214,0,0,0,0,0,0,0,27901,32366,77.00,326,18672,128429,142502,79.00,1607,68416,6460,16463,8.00,41,2635,0,0,0,0,0
"blobs",2.48,5.60,5.20,7.30,0,0,5,5,0,50,12, 51, 91, 7, 5, 19,0,7,49, 272585, 192983, 24451, 51.70, 125700,1838.2,0,8912,0,9470,0,153969,109679,67.40,1136,16525,118616,83304,80.60,1001,7926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Big Otis",2.45,4.30,4.00,5.50,0,0,8,2,0,30,30, 37, 159, 4, 1, 10,9,1,57, 178403, 172792, 16594, 45.17, 117664,1858.1,0,15668,0,2913,0,22304,25782,53.00,269,3717,156099,147010,73.50,1945,12877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"InPeace",2.16,9.00,6.90,5.90,0,5,5,0,0,60,1, 41, 115, 9, 2, 15,5,7,54, 266352, 263904, 28335, 103.40, 129964,1824.4,0,9592,8652,0,0,0,0,0,0,0,151384,126653,60.80,986,8789,0,0,0,0,0,114968,137251,25.40,218,19546,0,0,0,0,0
